Data;Produto;Quantidade;Pre�o
05/03/2024;Docinhos Gourmet Napolitano cento;1;R$ 90,00
05/03/2024;Docinhos Gourmet Prestigio cento;1;R$ 90,00
06/03/2024;Docinhos Gourmet Romeu e Julieta cento;1;R$ 90,00
06/03/2024;Bolo de Festa25 Pequeno Doce de Leite Coco;1;R$ 145,00
06/03/2024;Bolo de Festa15 Pequeno Abacaxi Coco;1;R$ 85,00
11/03/2024;Docinhos Cajuzinho Festa cento;1;R$ 80,00
11/03/2024;Bolo de Festa40 Corte Gourmet (Sabores);1;R$ 170,00
11/03/2024;Bolo de Festa25 Cajuzinho ;1;R$ 145,00
11/03/2024;Bolo da Tarde Cocada;1;R$ 20,00
12/03/2024;Docinhos Casadinho Festa cento;1;R$ 80,00
12/03/2024;Bolo de Festa40 Corte Gourmet (Sabores);1;R$ 170,00
12/03/2024;Bolo da Tarde Cocada;2;R$ 40,00
12/03/2024;KIT Kids Festa2;1;R$ 85,00
13/03/2024;Docinhos Moranguinho Festa cento;1;R$ 80,00
13/03/2024;Docinhos Cajuzinho Festa cento;1;R$ 80,00
13/03/2024;Bolo de Festa15 Pequeno Chocolate;1;R$ 85,00
13/03/2024;Bolo de Festa100 Corte Ninho;1;R$ 185,00
14/03/2024;Docinhos Gourmet Choconinho cento;1;R$ 90,00
14/03/2024;Docinhos Brigadeiro Limǜo Festa cento;1;R$ 80,00
14/03/2024;Bolo de Festa15 Pequeno Ninho;1;R$ 85,00
14/03/2024;Bolo de Festa15 Pequeno Ninho Chocolate;1;R$ 85,00
18/03/2024;Docinhos Casadinho Festa cento;1;R$ 80,00
19/03/2024;Docinhos Gourmet Ninho com Nutella cento;1;R$ 90,00
19/03/2024;Docinhos Brigadeiro Limǜo Festa cento;1;R$ 80,00
19/03/2024;Bolo de Festa60 Medio Doce de Leite;1;R$ 165,00
20/03/2024;Docinhos Gourmet Sensacao cento;1;R$ 90,00
20/03/2024;Docinhos Gourmet Moranguinho cento;1;R$ 90,00
20/03/2024;Bolo de Festa25 Pequeno Cajuzinho;1;R$ 145,00
21/03/2024;Bolo de Festa60 Corte Abacaxi Coco;1;R$ 85,00
25/03/2024;Bolo de Festa60 Medio Abacaxi Coco;1;R$ 165,00
25/03/2024;Bolo da Tarde Milho;1;R$ 20,00
25/03/2024;KIT Adulto Festa3;1;R$ 165,00
25/03/2024;Bolo de Festa15 Pequeno Doce de Leite;1;R$ 85,00
26/03/2024;Bolo de Festa60 Medio Doce de Leite Coco;1;R$ 165,00
